Id,Label,timeset,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree
0,SpaceX,,4,0.004831,2,0.504621,0.509157,141906.271951,81,96,177
1,planetlabs,,0,0.002304,3,0.448609,0.511605,20159.019372,12,783,795
2,Aki_Hoshide,,4,0.000202,3,0.358427,0.374253,384.963682,10,93,103
3,astro_kimbrough,,4,0.002538,3,0.343243,0.348468,171.877077,18,11,29
4,Astro_Megan,,4,0.002456,3,0.349025,0.357529,51.929333,11,27,38
5,Thom_astro,,4,0.002868,3,0.377339,0.39972,2769.775104,23,127,150
6,Astro_SEAL,,4,0.002569,3,0.344438,0.350407,179.411182,15,15,30
7,Axiom_Space,,3,0.000196,3,0.408128,0.438319,2066.374649,9,210,219
8,MissionToPsyche,,5,0.000195,3,0.395235,0.423916,1230.619535,6,193,199
9,SpaceAdventures,,1,0.000194,3,0.376851,0.406079,2709.204098,6,236,242
10,boringcompany,,2,0.000209,3,0.337823,0.340296,19.012737,7,5,12
11,Teslarati,,2,0.000203,3,0.35019,0.359691,583.013764,5,36,41
12,ViasatInc,,7,0.000195,3,0.447919,0.493419,11359.363447,7,506,513
13,WilliamShatner,,2,0.0002,3,0.361268,0.382678,7123.985694,10,168,178
14,Thales_Alenia_S,,0,0.002362,3,0.46039,0.500954,10189.017149,15,466,481
15,Telesat,,7,0.000193,3,0.350612,0.359564,161.371028,4,25,29
16,rSpaceX,,2,0.000194,3,0.491468,0.507186,3332.608335,5,204,209
17,MDA_maxar,,0,0.000195,3,0.503023,0.548614,13190.097391,8,733,741
18,kacific,,7,0.000193,3,0.367653,0.388274,1369.95005,3,130,133
19,INTELSAT,,7,0.00237,3,0.408351,0.454184,18159.641419,20,456,476
20,Hispasat,,7,0.000194,3,0.374028,0.392821,1141.747987,5,80,85
21,SpaceForceCSO,,6,0.002686,3,0.392365,0.418352,3216.002567,19,154,173
22,Erdayastronaut,,4,0.002492,3,0.433366,0.468396,6053.600089,14,309,323
23,eshailsat,,7,0.000195,3,0.359731,0.371423,130.063192,3,22,25
24,SecAFOfficial,,6,0.002469,3,0.378074,0.409354,4007.505446,13,265,278
25,Arabsat,,7,0.0002,3,0.378538,0.397558,802.547011,4,71,75
